Character,total speech quantity (words),total adjective percentage (%),total adverb percentage (%),monologue speech percentage (%),monologue adjective percentage (%),monologue adverb percentage (%),single listener dialogue speech percentage (%),single listener dialogue adjective percentage (%),single listener dialogue adverb percentage (%),multiple listener dialogue speech percentage (%),multiple listener dialogue adjective percentage (%),multiple listener dialogue adverb percentage (%),global_cluster,monologue_cluster,onelistener_cluster,multilistener_cluster
다림_8월의 크리스마스,1083,4.99,7.76,0.65,0,14.29,98.34,4.98,7.7,1.02,9.09,9.09,2,2,2,0
정원_8월의 크리스마스,1277,3.6,7.52,2.04,3.85,0,92.4,3.73,7.37,5.56,1.41,12.68,2,0,2,0
강은표_고지전,1255,2.31,6.93,2.07,0,7.69,94.26,2.37,6.93,3.67,2.17,6.52,2,0,0,0
김수혁_고지전,1941,2.11,6.29,0.57,0,27.27,86.09,2.15,6.4,13.34,1.93,4.63,2,2,0,0
현서_괴물,486,3.09,8.23,4.32,4.76,14.29,93.83,3.07,8.11,1.85,0,0,1,2,2,2
민재_남극일기,1450,2.97,7.24,20.97,1.97,4.61,74.14,3.26,8.19,4.9,2.82,4.23,0,1,2,0
도형_남극일기,2693,2.64,7.5,2.53,1.47,13.24,50.43,3.24,7.36,47.05,2.05,7.34,3,2,3,1
남일_괴물,676,1.78,10.65,1.33,0,22.22,44.82,1.65,8.25,53.85,1.92,12.36,3,2,3,1
남주_괴물,158,4.43,9.49,5.06,0,0,21.52,2.94,5.88,73.42,5.17,11.21,3,0,3,1
강두_괴물,777,2.45,7.72,7.46,0,8.62,41.96,2.45,7.06,50.58,2.8,8.14,3,0,3,1
희봉_괴물,991,1.41,9.18,3.73,2.7,13.51,11.91,0,10.17,84.36,1.56,8.85,3,2,1,1
충녀_다찌마와 Lee,287,2.09,7.67,0,0,0,97.56,2.14,6.79,2.44,0,42.86,2,0,0,3
화녀_다찌마와 Lee,169,4.73,4.73,15.98,11.11,3.7,84.02,3.52,4.93,0,0,0,1,3,0,2
리_다찌마와 Lee,631,3.65,5.86,0.16,0,0,77.02,3.09,5.35,22.82,5.56,7.64,2,0,0,0
판돌_각설탕,669,2.24,6.43,5.98,2.5,5,94.02,2.23,6.52,0,0,0,1,0,0,2
시은_각설탕,2325,2.15,6.58,20.65,0.62,5.62,78.45,2.52,6.85,0.9,4.76,4.76,0,1,0,0
익두_각설탕,663,2.56,6.33,0,0,0,100,2.56,6.33,0,0,0,2,0,0,2
철이_각설탕,197,1.02,6.6,0,0,0,100,1.02,6.6,0,0,0,2,0,0,2
김조교사_각설탕,829,1.21,5.91,1.57,0,0,91.31,1.06,5.94,7.12,3.39,6.78,2,0,0,0
민자_각설탕,508,1.97,8.86,7.28,2.7,2.7,92.72,1.91,9.34,0,0,0,1,0,2,2
대수_올드보이,2208,2.31,6.84,23.32,2.14,5.44,74.86,2.36,7.2,1.81,2.5,10,0,1,0,0
미도_올드보이,1148,3.05,7.67,0,0,0,94.69,3.22,8,5.31,0,1.64,2,0,2,2
우진_올드보이,1568,2.3,7.59,0.83,0,7.69,99.17,2.32,7.59,0,0,0,2,0,2,2
수진_내 머리 속의 지우개,3406,2.82,7.66,0.15,0,0,92.43,2.73,7.69,7.43,3.95,7.51,2,0,2,0
철수_내 머리 속의 지우개,3171,2.46,9.24,6.18,1.02,7.65,79.56,2.81,9.2,14.25,1.11,10.18,2,0,2,0
주석_가족,1328,3.31,7.3,0,0,0,75.38,3.8,7.89,24.62,1.83,5.5,2,0,2,0
정은_가족,1709,2.57,8.13,3.34,0,12.28,86.42,2.78,7.85,10.24,1.71,9.14,2,2,2,0
정환_가족,880,2.73,7.39,2.05,0,16.67,63.3,3.23,7.36,34.66,1.97,6.89,3,2,3,1
나난_싱글즈,5553,2.59,7.64,21.23,2.04,6.87,58.69,2.82,8.32,20.08,2.51,6.46,0,1,3,0
동미_싱글즈,4195,2.1,6.56,0,0,0,71.16,2.28,6.67,28.84,1.65,6.28,2,0,0,0
수헌_싱글즈,1322,3.18,8.7,0.83,9.09,9.09,98.34,3.15,8.77,0.83,0,0,1,3,2,2
정준_싱글즈,1600,2.44,6.56,0,0,0,49.38,2.78,6.71,50.62,2.1,6.42,3,0,3,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,monologue_cluster_0 average,2.154444444,0.559444444,2.186111111,,,,,,,,,,
,,,monologue_cluster_1 average,21.5425,1.6925,5.635,,,,,,,,,,
,,,monologue_cluster_2 average,2.315,1.11625,16.72125,,,,,,,,,,
,,,monologue_cluster_3 average,8.405,10.1,6.395,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,single_listener_cluster_0 average,,,,87.39583333,2.275,6.375833333,,,,,,,
,,,single_listener_cluster_1 average,,,,11.91,0,10.17,,,,,,,
,,,single_listener_cluster_2 average,,,,89.785,3.146666667,8.141666667,,,,,,,
,,,single_listener_cluster_3 average,,,,47.15714286,2.73,7.277142857,,,,,,,
,,,,,,,,,,,,,,,,
,,,multi_listener_cluster_0 average,,,,,,,11.10666667,3.092666667,7.426666667,,,,
,,,multi_listener_cluster_1 average,,,,,,,56.36285714,2.51,8.744285714,,,,
,,,multi_listener_cluster_2 average,,,,,,,0.887777778,0,0.182222222,,,,
,,,multi_listener_cluster_3 average,,,,,,,2.44,0,42.86,,,,
